draft	milestone	type	size	title	covers	justification	assigned
SVC-@system-log-service	V1	build	M	Build the structured log collection service for system and session services		Core system service in workstream scope: collects structured log records from supervised services with per-service retention and Capability-gated read, in the OBS crash-capture/trace format; required by V1 daily-driving debugging and by the V2 safe-mode session's log export (EXTRA-016).	SVC-031
SVC-@time-service	V1	build	M	Build the time service: NTP/NTS sync, RTC synchronisation, clock-step events	GAP-0288	Supervised service implementing the time-sync ADR, syncing the RTC, exposing a Capability-gated set-time interface and broadcasting clock-step events so TLS, package signature verification and deadlines behave; timezone auto-detection is deferred to V2 with the SEC location service.	SVC-032
SVC-@timezone-and-time-settings	V2	build	S	Add timezone auto-detection via the location Capability and the time settings interface	GAP-0288	Completes GAP-0288 once SEC GAP-0289 ships the coarse-location Capability at V2: the time service derives the timezone from it with user override, and exposes the typed date/time settings interface the APP Settings date/time panel (GAP-0279) binds to.	SVC-037
SVC-@watchdog-escalation	V1	build	S	Wire kernel watchdog and hung-task signals into supervisor escalation		KRN EXTRA-012 retains hardware watchdog, softlockup and hung-task detection and wires them to the service supervisor; SVC side pets the hardware watchdog from init, treats hung-task reports as liveness loss, and escalates repeated failures to reboot into the previous SystemGeneration.	SVC-033
TSK-@async-abi-review-gate	V0	build	S	Add async-by-default ABI review gate and blocking-syscall lint	INV-0340,INV-0341,INV-0039,INV-1296,INV-0038	Standing rules enforced once: CI lint rejects native entry points whose primary mode blocks, any read()/write() thread-per-call surface, signal-style notification, or runtime async layers bypassing kernel Operations.	TSK-001
TSK-@async-design-guidelines	V1	docs	S	Publish Operation, deadline and cancellation guidelines for service authors		V1 developer preview: guidelines on when to add an Operation kind versus a Channel method, deadline conventions and the cancellation contract callers may observe, complementing IPC's interface design guidelines.	TSK-037
TSK-@async-task-stack-metadata	V1	build	M	Maintain logical async Task stacks and await chains for debugger and profiler		V1 exit: debugger breaks inside an async Task and shows the logical Task stack; profiler attributes samples to Task and Component; the runtime records parent/await relationships that OBS and SDK tools read.	TSK-038
TSK-@background-execution-capability	V0.5	build	M	Require an explicit Capability for Tasks that outlive their TaskGroup	INV-0392	§21: persistent background execution requires an explicit capability and no accidental orphans; first needed when native init and SVC-supervised services appear at V0.5; enforces CMP's INV-0392 invariant from the Operation/Task side.	TSK-025
TSK-@bench-deadline-overhead	V1	benchmark	S	Benchmark per-Operation deadline overhead at high submission rates and publish	INV-0376	Makes the spike's measurement a permanent regression harness under BEN's anti-fake-claim policy before the V1 Linux compatibility overhead gate (within 5%) is judged.	TSK-039
TSK-@bench-operation-completion	V0.5	benchmark	M	Benchmark submit-to-completion wake-up latency and publish		Turns the spike's one-off wake-up measurement into a permanent harness (same-core, cross-core, single vs batched) so V0.5/V1 regression gates and the V1 IPC p50 ≤ 2 µs target rest on a registered metric, not a claim.	TSK-026
TSK-@bench-task-handoff	V0	benchmark	M	Benchmark native Task handoff against Linux thread switch and publish		V0 benchmark gate 'context-switch behaviour (native Task handoff vs Linux thread switch) measured and published'; publish-only at V0 per critique, registered with BEN methodology.	TSK-002
TSK-@completion-ring-hardening	V1	build	M	Harden shared submission/completion memory against forgery, TOCTOU and exhaustion		SEC threat model at V0 names shared rings as an attack surface; before external developers submit Operations at V1 the kernel must validate user-writable entries once, bound outstanding work and reject forged completions.	TSK-040
TSK-@deadline-suspend-resume	V1	build	M	Preserve Operation deadlines correctly across suspend and resume	GAP-0496	Implements the suspend/resume rule from decide-deadline-representation on the Intel laptop; V1 gate of 200/200 suspend cycles with functional services requires Timers and deadlines to behave predictably after wake.	TSK-041
TSK-@decide-cancellation-model	V0	adr	M	Decide Task cancellation model and resource cleanup	INV-0396,INV-0394,INV-0395,INV-1149	V0 exit cancels a TaskGroup and never delivers a result from a cancelled Operation. Decides cooperative versus forced versus staged-with-grace-deadline cancellation, cleanup of Capabilities, MemoryObjects and partial ownership, and interaction with uninterruptible inherited Linux paths. The ADR report studies Trio nurseries, Kotlin coroutine scopes and Swift task groups (INV-1149) rather than a separate V0 research spike.	TSK-003
TSK-@decide-deadline-representation	V0	adr	S	Decide deadline and timestamp representation in the Operation ABI	GAP-0496	Clock domain, resolution, overflow horizon and suspend/resume behaviour of deadlines are stamped into every Operation; must precede operation-kinds-timer-wait and operation-cancel-deadline.	TSK-004
TSK-@decide-inline-completion	V0	adr	S	Decide whether Operations may complete inline at submit and how the ABI signals it	INV-0345	Cached reads and already-signalled Waits force this ABI-visible choice before submit-complete-path is built.	TSK-005
TSK-@decide-l1-freeze-candidates	V1	adr	S	Decide which Operation ABI surfaces become Layer 1 freeze candidates		Critique: L1 freeze candidates at V1 with SDK v1, frozen at V4; names the submission entry, completion record layout, result encoding, deadline representation and kind set that enter the ABI snapshot check.	TSK-042
TSK-@decide-native-notification	V0	adr	S	Decide native expression of termination, cancellation and async notification without signals	INV-0075,INV-0039	Signals have no native equivalent; the adr specifies Operation completion, typed Channel messages and Wait-able objects as the notification model and records the rejected signal-like options.	TSK-006
TSK-@decide-operation-priority-model	V0.5	adr	S	Decide how Operation priority relates to ResourceDomain scheduling intent	INV-0365	Whether priority is inherited from the owning domain's intent, per-Operation override bounded by the domain, or independent; needed before the kernel orders I/O and IPC by it and before SCH's Interactive/Background classes land at V0.5.	TSK-027
TSK-@decide-operation-transport	V0	adr	S	Decide Operation submission/completion transport and batching expression	INV-0344,GAP-0494	One decision: rings vs per-Component queues vs syscall-per-Operation vs hybrid, io_uring internals reused or replaced, and how batches are expressed; depends on spike-completion-transport; S-state prototyped, freeze candidate at V1.	TSK-007
TSK-@decide-ownership-transfer	V0.5	adr	S	Decide Operation ownership transfer semantics across Tasks and TaskGroups	INV-0367	operation-object gives every Operation an owner; this decides what transfer means for completion delivery, cancellation and accounting, needed before service-restart-inflight-ops re-owns work during rebind.	TSK-028
TSK-@decide-personality-threads	V1	adr	M	Decide how personality threads map onto native Tasks	INV-0386	INV-0386 is a V1 question: how Linux and Windows personality threads map onto native Tasks and execution contexts. Needed before V1 daily-driving through LNX and non-gated Wine bring-up. TSK owns the native side of the mapping; LNX and WIN consume it. Personalities are out of V0 scope.	TSK-043
TSK-@decide-task-identity	V0	adr	S	Decide whether every Task has kernel-visible identity	INV-0381,INV-0721	Orthogonal to the multiplexing model: every Task is Object<Task>, runtime identity with kernel visibility only for observability and cancellation, or a hybrid. The Task ABI must not embed x86-specific execution-context assumptions (§38). Depends on spike-task-multiplexing; freeze candidate at V1.	TSK-008
TSK-@decide-task-mapping	V0	adr	M	Decide Task mapping onto kernel execution contexts	INV-0071,INV-0380,INV-0038,GAP-0493	Required V0 architectural ADR: replace the thread model with Task/TaskGroup (INV-0071) and fix the kernel/runtime split (INV-0380). Options are complete models that each state how unexpected kernel blocking is compensated (GAP-0493): kernel-managed Tasks, UMCG-style activations with compensating workers, or pure userspace async syscalls. Surface prototyped, not frozen.	TSK-009
TSK-@event-object-signalling	V0.5	build	M	Implement a native Event object signalled by user space and consumed via Wait		Realises decide-native-notification: the replacement for futex/eventfd/signal wake-ups that the toolkit, compositor and Wayland bridge need for cross-Task synchronisation without ambient signals.	TSK-029
TSK-@hardware-cancel-matrix	V2	build	M	Verify cancellation state machine against NVMe, GPU and Wi-Fi on all target machines	GAP-0495	The V0 spike covered one NVMe path on one desktop; V2's three target machines add laptops, Wi-Fi and GPUs, so the committed-work contract must be exercised per hardware class in CI.	TSK-048
TSK-@operation-abi-reference	V3	docs	M	Write Layer 1 reference pages for every Operation kind, result and completion record		V3 exit requires 100% Layer 1 reference documentation; DOC generates from IDL but the Operation semantics, result codes and cancellation observability text are TSK-authored.	TSK-050
TSK-@operation-batching-linked	V0.5	build	M	Implement batched submission and linked Operation chains		decide-operation-transport fixes how batches are expressed; this implements batch submit and io_uring-style links (Read then Send, Timer-bounded chains) that the compositor frame loop and File Browser need at V0.5.	TSK-030
TSK-@operation-cancel-deadline	V0	build	L	Implement Operation cancellation and deadline expiry with Cancelled and DeadlineExceeded results	INV-0362,INV-0364,INV-0374,GAP-0495	Owner cancel and deadline expiry deliver through the normal completion path, cancelling a TaskGroup cancels every Operation it owns, and the committed-hardware state machine from spike-uncancellable-operations is implemented for the NVMe path; V0 exit: a cancelled Operation never delivers a result.	TSK-010
TSK-@operation-conformance-suite	V4	build	L	Build Layer 1 conformance suite for the frozen Operation ABI		V4 exit: L1 frozen with conformance suite; covers every kind, inline-completion signalling, deadline representation and cancellation results named by decide-l1-freeze-candidates.	TSK-052
TSK-@operation-fuzz-harness	V3	build	M	Build continuous fuzzing harness for Operation submission and completion		V3 exit: continuous syscall and IPC fuzzing; TSK supplies the grammar and oracle for submit, batch, link, cancel and deadline paths on BLD's fuzzing infrastructure.	TSK-051
TSK-@operation-kind-device	V0.5	build	M	Implement DeviceOperation kind for Object<Device> including user-space drivers	INV-0355	Asynchronous requests to devices backed by kernel or SVC-hosted user-space drivers; the V0.5 compositor drives DRM/KMS through it.	TSK-031
TSK-@operation-kind-gpu-dispatch	V2	build	L	Implement GPUDispatch Operation kind with committed-work cancellation		§18 lists GPUDispatch and the V2 ComputeDevice demo dispatches to CPU and GPU; extends the uncancellable-work state machine to submitted GPU work with HET owning ComputeDevice semantics.	TSK-049
TSK-@operation-kind-storage-txn	V1	build	M	Implement StorageTransaction Operation kind over the storage durability contract		§18 lists StorageTransaction; STO's durability contract lands at V1 with system history and os env snapshots, and the async transaction kind is the TSK-owned plumbing for it.	TSK-044
TSK-@operation-kinds-connect-accept	V0.5	build	M	Implement Connect and Accept Operation kinds	INV-0350,INV-0351	Connection establishment to services and listening objects needed by compositor clients and service rebind; NetworkConnection objects arrive with NET at V1 over the same kinds.	TSK-032
TSK-@operation-kinds-io-channel	V0	build	L	Implement Read, Write, Send and Receive Operation kinds	INV-0346,INV-0347,INV-0348,INV-0349	Read/Write against File, Channel and MemoryObject-backed objects plus typed Send/Receive on Channel<T> in coordination with IPC's fast path; required by the V0 §59 demo and exit criteria.	TSK-011
TSK-@operation-kinds-timer-wait	V0	build	M	Implement Timer and Wait Operation kinds	INV-0352,INV-0353	Timer completes at or after an absolute or relative deadline in the representation decided by decide-deadline-representation; Wait completes when a referenced object or set reaches a signalled state; both are V0 exit kinds.	TSK-012
TSK-@operation-object	V0	build	L	Implement Operation<Result> kernel object with owner, typed result, priority and trace points	INV-0054,INV-0361,INV-0363,INV-0365,INV-0367,INV-1317	The first-class unit of outstanding work: owner Task or TaskGroup for structural cancellation, typed Result or failure, priority field carried for later ordering, tracing hooks consumed by OBS; identity/handle encoding comes from ABI INV-0373.	TSK-013
TSK-@operation-priority-ordering	V0.5	build	M	Order I/O, IPC and wake-up by Operation priority	INV-0365	Plumbs the carried priority into block I/O ordering, Channel queueing and completion wake ordering per decide-operation-priority-model so the compositor's Operations preempt Background work (V0.5 zero-dropped-frames gate).	TSK-033
TSK-@operation-resource-accounting	V0.5	build	M	Charge outstanding Operations and completion queue memory to the owning ResourceDomain		§19 lists resource accounting as an Operation property; in-flight Operations and ring slots must count against SCH's kernel-object limits so a runaway component cannot exhaust kernel memory once multiple apps run at V0.5.	TSK-034
TSK-@operation-stability-audit	1.0	docs	S	Audit Operation surfaces for the 1.0 ABI stability statement		1.0 definition item (1): confirms every Operation kind and result code is in the frozen L1 statement or a versioned L2 interface with deprecation policy, and lists async non-promises (no distributed Operations).	TSK-053
TSK-@runtime-binding-guide	V1	docs	S	Document how language runtimes bind to kernel Operations	INV-1296	SDK v1 and C bindings ship at V1; the guide specifies waker, completion record and cancellation contracts so Rust, C and later runtimes bind to Operations rather than reinventing async I/O.	TSK-045
TSK-@service-restart-inflight-ops	V0.5	build	M	Complete in-flight Operations against a restarted service with typed Disconnected results		V0.5 exit: killing the compositor rebinds all windows with no application exit; outstanding Send/Receive/DeviceOperation work against the dead instance must fail typed and be resubmittable, coordinated with SVC supervision and IPC rebind.	TSK-035
TSK-@spike-completion-transport	V0	spike	M	Prototype Operation submission/completion transports and measure wake-up latency	INV-1144,GAP-0494	Studies io_uring rings, linked operations and cancellation, then prototypes shared ring, per-Task wait object and hybrid completion delivery on QEMU and the reference desktop with wake-up latency measured for each; feeds decide-operation-transport (critique: L1 spikes explicit in V0, freeze nothing).	TSK-014
TSK-@spike-deadline-enforcement	V0	spike	M	Prototype in-kernel deadline enforcement and measure per-Operation overhead	INV-0376	Timer wheel vs hrtimer per Operation measured at high submission rates before the Timer kind and deadline path are built.	TSK-015
TSK-@spike-task-multiplexing	V0	spike	M	Prototype Task multiplexing models and measure hidden blocking	GAP-0492,INV-0385,INV-0377,GAP-0493	Critique keeps the UMCG/scheduler-activations study among the six V0 spikes that inform L1 surfaces. Prototypes kernel-notified user scheduling, a pure userspace runtime with async syscalls only, and kernel-managed lightweight Tasks at the §20 live-Task scale, and measures how page faults and synchronous driver paths stall a worker. Feeds decide-task-mapping; freeze nothing.	TSK-016
TSK-@spike-uncancellable-operations	V0	spike	M	Prototype cancellation state machine for hardware-committed Operations on NVMe	GAP-0495,INV-0374	Answers whether cancel waits, fails or is best-effort for in-flight DMA/GPU/network work and how partial results are reported, prototyped against a real NVMe read on the reference desktop; feeds operation-cancel-deadline.	TSK-017
TSK-@submit-complete-path	V0	build	L	Implement submit(Operation), completion delivery and poll/wait in the native ABI	INV-0342,INV-0343,INV-1160,INV-0340	Builds the transport chosen by decide-operation-transport and decide-inline-completion; submit returns without waiting and completions report results back to the submitting Task (V0 exit: async submission/completion works).	TSK-018
TSK-@task-multiplexer-tuning	V1	build	L	Tune Task multiplexing with per-core completion affinity and work distribution		V1 targets IPC p50 ≤ 2 µs same-core and ≤ 5 µs cross-core and V0 benchmarks must not regress; completion affinity, wake batching and idle-Task memory footprint are the TSK levers, measured by bench-operation-completion and bench-task-handoff.	TSK-046
TSK-@task-multiplexing	V0	build	L	Implement Task multiplexing across bounded execution contexts	INV-0379,INV-1156,INV-0377	§20: kernel and runtime multiplex Tasks across a bounded set of execution contexts so native software can create enormous numbers of Tasks without kernel threads. Implements the model chosen by decide-task-mapping, including hidden-blocking compensation. Existing task-multiplexing-wake then wires Operation completion onto this multiplexer; V1 task-multiplexer-tuning is out of scope.	TSK-019
TSK-@task-multiplexing-wake	V0	build	L	Integrate Operation completion with Task suspension and wake on execution contexts	INV-1296	§18 completion integrates directly with Task scheduling and §20 requires 500,000 Tasks without 500,000 kernel threads; the kernel records which Operation a suspended Task awaits and wakes it on completion so the native runtime binds to kernel Operations rather than reinventing async I/O; BEN INV-1020 measures 500k Tasks at V0 and needs this.	TSK-020
TSK-@task-object	V0	build	M	Implement Task as the native concurrency abstraction	INV-0047,INV-1314	§59 V0 goal: create a native Task. Implements Task per decide-task-identity and the Tasks half of the Native Platform layer. Threads are not a native API; this object is what native software runs.	TSK-021
TSK-@taskgroup-cancel	V0	build	M	Propagate cancellation through the TaskGroup hierarchy	INV-0389,INV-0390,INV-1165,INV-0393,INV-0392	V0 exit and cancellation demo: cancelling a TaskGroup cancels owned Tasks, child groups and outstanding Operations; app.cancel waits until every owned Task has terminated; a regression proves no Task survives group cancel or application exit. Operation Cancelled results remain operation-cancel-deadline; the background-execution Capability exception is V0.5.	TSK-022
TSK-@taskgroup-deadline-inheritance	V0.5	build	M	Inherit TaskGroup deadlines and outstanding-Operation limits by owned Operations		§21 structured concurrency: Operations submitted inside a TaskGroup take the minimum of their own and the group's deadline and share the group's outstanding budget, so cancelling or timing out a group tears down in-flight work deterministically (V0 cancellation demo hardened for real apps).	TSK-036
TSK-@taskgroup-object	V0	build	M	Implement Object<TaskGroup> with ownership hierarchy	INV-0048,INV-0169,INV-0387,INV-0388,INV-1157	§7 Object<TaskGroup> and §21 ownership: Application owns TaskGroups, TaskGroups own Tasks and child TaskGroups, each Component owns a TaskGroup. Capability-referenced kernel object. V0 scope and the §59 create-TaskGroup exit.	TSK-023
TSK-@timer-slack-coalescing	V1	build	M	Add slack and coalescing to Timer Operations for energy efficiency		V1 idle power and battery runtime gate; Timer Operations carry slack derived from EnergyEfficient/Background intent so idle desktops coalesce wake-ups instead of ticking per component.	TSK-047
TSK-@v0-operation-acceptance	V0	build	M	Build V0 Operation acceptance suite for six kinds, deadline and cancellation	INV-1160,INV-0362,INV-0364	Verifies the V0 exit criterion: Read, Write, Send, Receive, Timer, Wait complete; a deadline yields a Timeout result; a cancelled Operation never delivers a result; runs on QEMU and the reference desktop in CI.	TSK-024
TXT-@bench-glyph-memory-shaping	V1	benchmark	S	Benchmark per-Component text memory and shaping CPU with shared versus private caches	GAP-0248	The shared atlas exists on a memory and startup claim; §54 and BEN policy forbid unmeasured claims, so the harness publishes memory and shaping cost for N Components with private caches and with the shared read-only atlas.	TXT-014
TXT-@bench-text-stack-init	V0.5	benchmark	S	Benchmark text stack initialisation and first-glyph time inside application startup		V0.5 benchmark gate measures warm startup (target p50 ≤ 20 ms for the smallest app) and font loading, matcher resolution and first shaping are on that path; harness plus publish-only measurement so later text stack claims have a baseline per §54.	TXT-001
TXT-@cjk-ime-gate	V4	build	M	Verify CJK input methods in native and Linux-personality applications on Tier 1	GAP-0253,INV-0780,INV-0893	V4 exit criterion: CJK input methods functional in native and Linux-personality applications (tested); scripted typing scenarios for Chinese, Japanese and Korean run on every Tier 1 machine each RC.	TXT-044
TXT-@cldr-tzdata-package	V2	build	M	Ship CLDR, tzdata and Unicode data as a Package updating independently of SystemGenerations	GAP-0257	Locale and time zone data change faster than the OS; a content-addressed data Package with hot reload in the text and locale services (coordinated with PKG for independent update and SVC for time settings) prevents stale time zones between generations.	TXT-024
TXT-@color-emoji-sequences	V2	build	M	Render emoji ZWJ sequences and COLRv1 colour glyphs	GAP-0249,GAP-0247	Emoji presentation selectors, modifier and ZWJ sequences and COLRv1 rasterisation into the shared atlas using the emoji font selected in the font set decision; V2 desktop shell and messaging-class L3 apps expose emoji everywhere.	TXT-025
TXT-@decide-default-font-set	V0.5	adr	M	Decide the default system font set and publish its script coverage matrix	GAP-0247,GAP-0030	Selects licensed fonts covering Latin, Cyrillic, Greek, Arabic, Hebrew, Devanagari, Thai, CJK, monospace and COLRv1 colour emoji, including metric-compatible substitutes for Windows core fonts instead of Microsoft fonts, with the coverage matrix recorded in the decision; fonts ship in the first immutable V0.5 image.	TXT-002
TXT-@decide-glyph-atlas-sharing	V1	adr	S	Decide the cross-Component glyph atlas and shaped-text cache sharing model	GAP-0248	Decides one thing: per-Component caches, a read-only atlas minted by the text service, or a shared writable atlas (rejected per critique #7 and §67 principle 3); depends on the font threat model and SEC's side-channel statement.	TXT-015
TXT-@decide-ime-engine-strategy	V2	adr	S	Decide hosting existing IME engines versus native engines and the 1.0 language list	GAP-0253	Decides one thing: sandboxed hosting of librime, libpinyin, anthy, libhangul and m17n versus native engines, with the 1.0 input-language list; §67 principle 15 argues against rewrites and the V4 CJK gate needs engines from V2.	TXT-026
TXT-@decide-locale-data-source	V1	adr	S	Decide the locale data source between ICU/CLDR and an ICU4X port	GAP-0257	Decides one thing: which CLDR-backed implementation supplies formatting, collation, plural rules and time zones; must precede the V2 Locale object, localisation pipeline and CLDR/tzdata package.	TXT-016
TXT-@decide-message-catalog-format	V1	adr	S	Decide the message catalog format between Fluent and gettext	GAP-0258	First-party apps accumulate string sites from V0.5; deciding the catalog format and SDK string API alongside SDK v1 prevents rewriting every UI string site before the V2 localisation framework, per the GAP-0258 rationale.	TXT-017
TXT-@decide-shaping-raster-libraries	V0.5	adr	S	Decide the shaping and rasterisation libraries for the native text stack	GAP-0245,GAP-0518,INV-0781	Decides one thing: retained HarfBuzz+FreeType versus Rust-native shaping and rasterisation (options with §67 principle 15 applied), using the spike report; every V0.5 app renders text through the chosen stack.	TXT-003
TXT-@decide-text-rendering-policy	V2	adr	S	Decide hinting, subpixel positioning and gamma policy across scale factors	GAP-0250	Decides one thing: the rendering policy so native and Linux-personality text render identically at every fractional scale; V2 introduces fractional and per-display scaling and §49 forbids visibly non-native compatibility windows.	TXT-027
TXT-@decide-text-service-placement	V0.5	adr	S	Decide whether shaping runs in-Component or in a shared text service Component	GAP-0245,GAP-0518	Decides one thing: in-component library, shared system text service, or hybrid (library shaping with a service minting read-only caches); depends on the font threat model because the answer changes the isolation and latency model for every UI Component.	TXT-004
TXT-@five-languages	V3	build	M	Bring the shell and native applications to five languages via the translation platform	INV-0775	V3 scope caps localisation at five languages; reaching five through the public platform validates community translation flow before the V4 ten-language gate and the V3 public documentation.	TXT-041
TXT-@font-license-audit	V0.5	docs	S	Audit and record licences of every shipped font with redistribution terms	GAP-0030	Records licence, source and redistribution terms for each shipped font under GOV's licensing policy and feeds the BLD licence/SBOM CI gate; must exist before the first immutable V0.5 image redistributes fonts.	TXT-005
TXT-@font-matcher-interface	V0.5	build	M	Build the typed FontMatcher interface with family, weight, script fallback chains	GAP-0246,INV-0781	Typed Layer 2 interface resolving family/weight/width/style/script requests to fallback chains over installed font Packages, replacing fontconfig for native applications; the V0.5 toolkit and four apps resolve fonts through it.	TXT-006
TXT-@font-packages	V0.5	build	M	Ship fonts as immutable content-addressed Packages with per-user installation	GAP-0246,INV-0781	Fonts become Package objects in the content-addressed store (system set in the generation, user fonts installed per user without writing outside the store), satisfying the V0.5 immutable-package exit criterion for the text stack.	TXT-007
TXT-@font-parsing-sandbox	V1	build	M	Parse untrusted fonts in an isolated Component before atlas admission	GAP-0248	Implements the threat model mitigation: user-installed and personality-supplied fonts are parsed and sanity-checked in a capability-scoped Component with no display or file authority beyond the font object, so the text service that mints shared atlases never parses untrusted bytes in its own address space.	TXT-018
TXT-@font-threat-model	V0.5	docs	S	Write the font parsing and text service threat model		Critique contradiction #7 makes a shared glyph atlas a font-parsing attack surface and cross-domain channel; the V0.5 apps parse fonts from packages and user files, so the attack surface, trust boundaries and the dependency on SEC's side-channel statement must be written before the service-placement and atlas decisions.	TXT-008
TXT-@fontconfig-bridge	V1	build	M	Expose the native font store to the Linux personality through fontconfig	GAP-0246,GAP-0251	V1 L2 integration check scores correct scaling and §49 requires compatibility windows to feel native; generating fontconfig configuration and font directories from the native store gives browser, IDE and Wine (consumed by WIN) the same fonts and fallback chains as native apps.	TXT-019
TXT-@glyph-atlas-service	V1	build	L	Build the text service minting read-only glyph atlas and shaped-run MemoryObjects	GAP-0248	Text service rasterises and shapes once per system and hands Components read-only MemoryObject atlas pages and shaped-run cache entries with an eviction and generation protocol; V1 daily-driving runs many more text-rendering Components under cheap isolation.	TXT-020
TXT-@ime-engine-chinese	V2	build	M	Ship the first hosted IME engine for Chinese pinyin input	GAP-0253,INV-0780	First engine through the host proves the protocol, capability routing and candidate window end to end at V2, leaving V3 for the remaining 1.0 language list ahead of the V4 CJK gate.	TXT-028
TXT-@ime-engines-remaining	V3	build	M	Ship hosted IME engines for Japanese, Korean and the rest of the 1.0 language list	GAP-0253,INV-0780	Completes the engine list from the IME strategy decision (anthy, libhangul, m17n-based Vietnamese and Indic) so the V4 gate can test CJK input on Tier 1 machines with a full milestone of soak.	TXT-042
TXT-@ime-focus-capability	V1	build	M	Route Capability<TextInputFocus> to the IME Component for the focused field only	GAP-0252,INV-0780	Coordinated with UIP input routing: the compositor mints a per-focus Capability<TextInputFocus> and an IME Component without it receives no key events; a permanent denial test proves no global key stream exists, satisfying the capability model that forbids ambient key logging.	TXT-021
TXT-@ime-host-component	V2	build	L	Build the sandboxed IME host Component with candidate window presentation	GAP-0253,GAP-0252,INV-0780	IME host Component holding only Capability<TextInputFocus> and dictionary Package access, engine lifecycle and per-session switching, and a candidate window placed at the protocol's cursor rectangle; the V2 localisation framework and V4 CJK gate depend on it.	TXT-029
TXT-@ime-protocol-toolkit	V1	build	L	Implement the native input-method protocol in the toolkit text fields	GAP-0252,INV-0780	Preedit rendering, commit, surrounding text, cursor rectangle and candidate placement implemented against the registered Layer 2 surface so the protocol is exercised by real fields before the V1 freeze candidate; engines arrive at V2.	TXT-022
TXT-@linux-ime-bridge	V2	build	M	Bridge text-input-v3 and input-method-v2 in the Wayland bridge to the native IME	INV-0893	Linux GUI apps type through the native IME host via the Wayland text-input protocols implemented inside LNX's bridge (TXT owns the IME mapping); §47 integration and the V4 gate that CJK input works in Linux-personality applications.	TXT-030
TXT-@locale-object	V2	build	M	Build the typed Locale object with per-application override and formatting APIs	GAP-0257,INV-0775	Locale as a typed SDK object (numbers, dates, plurals, collation, measurement) with per-application override and session default from SVC settings storage; required by the V2 localisation framework and §41 locale formatting.	TXT-031
TXT-@localization-pipeline	V2	build	L	Build the SDK localisation pipeline with catalog extraction and packaged resources	GAP-0258,INV-0775	Build-time string extraction, catalogs shipped as Package resources, runtime lookup with plural and bidi-aware formatting through the Locale object, and the SDK API; the V2 exit requires the localisation framework in place.	TXT-032
TXT-@lock-text-layer2-interfaces	V4	build	M	Lock 1.x versions of FontMatcher, TextInput, Locale and SpellCheck interfaces	EXTRA-066,GAP-0246	V4 exit requires Layer 2 interface versions enumerated and locked with the old-client/new-service and new-client/old-service evolution test passing for every core interface; the IME surface registered at V0.5 is frozen here, never earlier.	TXT-045
TXT-@monospace-grid-fast-path	V0.5	build	M	Build the monospace grid text fast path for the Terminal	INV-0771	The V0.5 Terminal needs cell-width metrics and a no-reshape glyph grid path so it meets its scripted acceptance scenario and keeps text stack cost off the warm-startup path measured by the V0.5 and V1 application startup gates.	TXT-009
TXT-@register-ime-protocol-surface	V0.5	build	S	Register the input-method protocol shape as a Layer 2 surface in UI protocol v0	EXTRA-066	Critique ordering fix: preedit, commit, surrounding text, cursor rectangle and candidate placement must be an S-entry before the UI protocol becomes a V1 freeze candidate; reserving the optional messages while protocol v0 is designed and version-bumped at V0.5 avoids an incompatible V1 revision.	TXT-010
TXT-@release-i18n-gates	1.0	build	S	Re-verify the localisation and IME gates on the 1.0 release build		1.0 exit criterion: accessibility and localisation gates from V4 hold on the release build (10 languages ≥ 95%, CJK input tested); re-runs coverage, conformance and IME scenarios on the final release candidate across Tier 1.	TXT-047
TXT-@shell-three-languages	V2	build	M	Translate the shell and four native applications into three languages	INV-0775	V2 scope requires the shell translated into at least three languages; includes one RTL language to exercise bidi, a coverage test in CI and screenshot review of layout under translated strings.	TXT-033
TXT-@spell-hyphenation-service	V2	build	L	Build the spell-checking and hyphenation service with dictionary Packages	GAP-0260	Typed interface over Hunspell dictionaries and hyphenation patterns installed as per-language Packages, consumed by toolkit text fields (underlines, suggestions, per-field opt-out for secrets); a V2 polished desktop needs it in every text field.	TXT-034
TXT-@spike-text-stack-candidates	V0.5	spike	M	Prototype HarfBuzz+FreeType against Rust shaping and raster stacks on a script corpus	GAP-0245,GAP-0518	Builds both candidate stacks (HarfBuzz+FreeType; rustybuzz/swash/cosmic-text) behind one shaping trait, measures shaping correctness on a multi-script corpus, throughput, binary size, startup cost and unsafe surface, and rules options out before the two stack decisions; answers the V0.5 risk that a minimal text path hardens into the permanent design.	TXT-011
TXT-@ten-languages-gate	V4	build	M	Reach ten languages at 95% string coverage with a CI coverage gate	INV-0775	V4 exit criterion: 10 languages at ≥ 95% string coverage for shell and native apps; adds the coverage measurement as a blocking CI gate and closes translation gaps before feature freeze.	TXT-046
TXT-@text-editing-model	V0.5	build	M	Build the toolkit text editing model with cursor, selection and surrounding text	INV-0771	Editing primitives (caret movement by grapheme, selection, undo, surrounding-text access, reserved preedit span) used by the Text Editor and every text field at V0.5, shaped so the IME protocol can attach without redesign.	TXT-012
TXT-@text-i18n-sdk-guide	V3	docs	M	Write the SDK guide for fonts, text layout, input methods and localisation		V3 exit requires the SDK guide published and reviewed; the text, FontMatcher, IME protocol, Locale and catalog APIs need developer guidance so third-party packages localise correctly (coordinated with DOC's generated references).	TXT-043
